Filename	IsInterpolated	MeasCount	Longitude	UmtsAsnVersion1.0.0Latitude	SecCode	BroadcastCode	CenterFreq	Date	Time	ScannerID	HGT_AGL	SignalLevels
\das_output_NOT_encrypted.dmm	False	33	-78.7857819	42.7738648	Code_11_1960	11	1960	7/15/2014	16:15:08	1064108405023	10001	0	xl7TNsRxJsBVENom5LpmKw==
\das_output_NOT_encrypted.dmm	False	28	-78.7857819	42.7738648	Code_47_1960	47	1960	7/15/2014	16:15:08	1064168463280	10001	0	Y+xVKVcMniWYrHzZJo7SPw==
\das_output_NOT_encrypted.dmm	False	29	-78.7857819	42.7738648	Code_33_1960	33	1960	7/15/2014	16:15:08	1064105300613	10001	0	kazqx53076Z0OfprNJ3DYw==
\das_output_NOT_encrypted.dmm	False	29	-78.7857819	42.7738648	Code_62_1960	62	1960	7/15/2014	16:15:08	1064106273536	10001	0	XRi4hWfOOwuaNuy51TewBA==
\das_output_NOT_encrypted.dmm	False	28	-78.7857819	42.7738648	Code_62_1960	62	1960	7/15/2014	16:15:08	1064145203793	10001	0	EdApAmiuSIwmrm/3SJmkFg==
\das_output_NOT_encrypted.dmm	False	28	-78.7857819	42.7738648	Code_255_1960	255	1960	7/15/2014	16:15:08	1064151641536	10001	0	0oW1IhUCB2ttMf6IeqvFMw==
\das_output_NOT_encrypted.dmm	False	28	-78.7857819	42.7738648	Code_36_1960	36	1960	7/15/2014	16:15:08	1064153992100	10001	0	kmBIRYPV1S309zPBIvAi+A==
\das_output_NOT_encrypted.dmm	False	29	-78.7857819	42.7738648	Code_192_1960	192	1960	7/15/2014	16:15:08	1064107872511	10001	0	6hPOAvkJNbRQIn9DkK5xZA==
\das_output_NOT_encrypted.dmm	False	29	-78.7857819	42.7738648	Code_153_1960	153	1960	7/15/2014	16:15:08	1064119179382	10001	0	VScVcGyjQHejaVq3ne12HA==
\das_output_NOT_encrypted.dmm	False	29	-78.7857819	42.7738648	Code_47_1960	47	1960	7/15/2014	16:15:08	1064129533023	10001	0	aj8JDRLIeCkPGn1y6YmURA==
\das_output_NOT_encrypted.dmm	False	29	-78.7857819	42.7738648	Code_56_1960	56	1960	7/15/2014	16:15:08	1064130486049	10001	0	jpx5PGmexXf8chnyloPB4g==
\das_output_NOT_encrypted.dmm	False	29	-78.7857819	42.7738648	Code_18_1960	18	1960	7/15/2014	16:15:08	1064111329331	10001	0	8XOOAwJOR+BfZaj8k4A5lA==
\das_output_NOT_encrypted.dmm	False	29	-78.7857819	42.7738648	Code_38_1960	38	1960	7/15/2014	16:15:08	1064115191280	10001	0	pjcbIQH4PdvGTv699ap2dg==
\das_output_NOT_encrypted.dmm	False	29	-78.7857819	42.7738648	Code_106_1960	106	1960	7/15/2014	16:15:08	1064115652203	10001	0	Yv0cY0Z0vPo++5lm8J6jnQ==
